"filename", "language", "Dart", "comment", "blank", "total"
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\common\theme.dart", "Dart", 12, 0, 2, 14
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\data_object.dart", "Dart", 8, 0, 6, 14
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\db_interfaces.dart", "Dart", 9, 0, 4, 13
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_control.dart", "Dart", 33, 4, 15, 52
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_dao.dart", "Dart", 14, 0, 9, 23
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_dao.g.dart", "Dart", 36, 4, 8, 48
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\dynamic_routes\routes.dart", "Dart", 52, 0, 11, 63
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\firebase\autentication\authentication_data_source.dart", "Dart", 9, 1, 2, 12
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\firebase\config.dart", "Dart", 12, 0, 2, 14
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\firebase\init copy.dart", "Dart", 32, 9, 5, 46
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\main.dart", "Dart", 59, 5, 16, 80
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_list_page\bug_list_view.dart", "Dart", 32, 1, 11, 44
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_list_page\parts\bottom_navigation.dart", "Dart", 47, 0, 4, 51
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_list_page\parts\bug_list_tile.dart", "Dart", 57, 1, 7, 65
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_list_page\parts\sliver_head_bar.dart", "Dart", 33, 1, 7, 41
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\create_bug_page\create_bug_page.dart", "Dart", 39, 0, 6, 45
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\create_bug_page\parts\bug_date_line copy.dart", "Dart", 43, 6, 11, 60
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\create_bug_page\parts\bug_date_line.dart", "Dart", 67, 0, 12, 79
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\create_bug_page\parts\calculate_button.dart", "Dart", 41, 0, 8, 49
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\create_bug_page\parts\turnaround_time_line.dart", "Dart", 41, 0, 7, 48
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\login_page\login_page.dart", "Dart", 33, 0, 5, 38
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\login_page\parts\head_widget.dart", "Dart", 17, 0, 3, 20
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\login_page\parts\login_button.dart", "Dart", 41, 0, 8, 49
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\login_page\parts\mail_data_line.dart", "Dart", 45, 0, 11, 56
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\login_page\parts\password_data_line.dart", "Dart", 38, 1, 7, 46
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_bloc.dart", "Dart", 60, 0, 17, 77
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_event.dart", "Dart", 32, 0, 13, 45
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_state.dart", "Dart", 33, 0, 3, 36
"Total", "-", 975, 33, 220, 1228
