"filename", "language", "Dart", "comment", "blank", "total"
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\data_model\data_object.dart", "Dart", 8, 0, 6, 14
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\data_model\hive_dao.dart", "Dart", 14, 0, 9, 23
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\data_model\hive_dao.g.dart", "Dart", 36, 4, 8, 48
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\data_object.dart", "Dart", -8, 0, -6, -14
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\db_interfaces.dart", "Dart", 0, 0, 1, 1
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_control.dart", "Dart", 0, 0, 1, 1
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_dao.dart", "Dart", -14, 0, -9, -23
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\db_hive\hive_dao.g.dart", "Dart", -36, -4, -8, -48
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\functions\date_recalculator.dart", "Dart", 13, 0, 1, 14
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\main.dart", "Dart", -3, 4, -1, 0
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_handler\bodies\bug_creator_body\bug_creator_body.dart", "Dart", -2, 2, 0, 0
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_handler\bodies\bug_creator_body\parts\bug_date_line.dart", "Dart", 5, 0, 1, 6
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_handler\bodies\bug_creator_body\parts\turnaround_time_line.dart", "Dart", 16, 0, 3, 19
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_handler\bodies\bug_list\bug_list_body.dart", "Dart", 1, 8, -1, 8
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_handler\bodies\bug_list\parts\bug_list_tile.dart", "Dart", 0, 0, 1, 1
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\pages\bug_handler\bug_handler_page.dart", "Dart", 36, 1, 6, 43
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_bloc.dart", "Dart", -14, 0, -2, -16
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_event.dart", "Dart", -3, 0, -1, -4
"c:\PROJECTS\FLUTTER\diverzum_due_date\due_date\lib\state_machine\state_manager_state.dart", "Dart", -3, 0, -1, -4
"Total", "-", 46, 15, 8, 69
